ticker,currency,exchange,sector,industry
LEG,USD,New York Stock Exchange,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LEN,USD,New York Stock Exchange,Consumer Cyclical,Residential Construction
LH,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
LHX,USD,New York Stock Exchange,Industrials,Aerospace & Defense
LIN,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
LKQ,USD,Nasdaq Global Select,Consumer Cyclical,Auto Parts
LLY,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ General
LMT,USD,New York Stock Exchange,Industrials,Aerospace & Defense
LNC,USD,New York Stock Exchange,Financial Services,Insurance‚ Life
LNT,USD,Nasdaq Global Select,Utilities,Utilities‚ Regulated Electric
LOW,USD,New York Stock Exchange,Consumer Cyclical,Home Improvement Retail
LRCX,USD,Nasdaq Global Select,Technology,Semiconductor Equipment & Materials
LUMN,USD,New York Stock Exchange,Communication Services,Telecom Services
LUV,USD,New York Stock Exchange,Industrials,Airlines
LVS,USD,New York Stock Exchange,Consumer Cyclical,Resorts & Casinos
LW,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
LYB,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
LYV,USD,New York Stock Exchange,Communication Services,Entertainment
MA,USD,New York Stock Exchange,Financial Services,Credit Services
MAA,USD,New York Stock Exchange,Real Estate,REIT‚ Residential
MAR,USD,Nasdaq Global Select,Consumer Cyclical,Lodging
MAS,USD,New York Stock Exchange,Industrials,Building Products & Equipment
MCD,USD,New York Stock Exchange,Consumer Cyclical,Restaurants
MCHP,USD,Nasdaq Global Select,Technology,Semiconductors
MCK,USD,New York Stock Exchange,Healthcare,Medical Distribution
MCO,USD,New York Stock Exchange,Financial Services,Financial Data & Stock Exchanges
MDLZ,USD,Nasdaq Global Select,Consumer Defensive,Confectioners
MDT,USD,New York Stock Exchange,Healthcare,Medical Devices
MET,USD,New York Stock Exchange,Financial Services,Insurance‚ Life
MGM,USD,New York Stock Exchange,Consumer Cyclical,Resorts & Casinos
MHK,USD,New York Stock Exchange,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MKC,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
MKTX,USD,Nasdaq Global Select,Financial Services,Capital Markets
MLM,USD,New York Stock Exchange,Basic Materials,Building Materials
MMC,USD,New York Stock Exchange,Financial Services,Insurance Brokers
MMM,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
MNST,USD,Nasdaq Global Select,Consumer Defensive,Beverages‚ Non-Alcoholic
MO,USD,New York Stock Exchange,Consumer Defensive,Tobacco
MOS,USD,New York Stock Exchange,Basic Materials,Agricultural Inputs
MPC,USD,New York Stock Exchange,Energy,Oil & Gas Refining & Marketing
MPWR,USD,Nasdaq Global Select,Technology,Semiconductors
